inicio;fim;cod;tamanho;desc;tipo;multiplica
195;195;V0641;1;NA SEMANA DE 25 A 31/07/10, DURANTE PELO MENOS 1 HORA, TRABALHOU GANHANDO EM DINHEIRO, PRODUTOS, MERCADORIAS OU BENEFÍCIOS;integer;1
196;196;V0642;1;NA SEMANA DE 25 A 31/07/10, TINHA TRABALHO REMUNERADO DO QUAL ESTAVA TEMPORARIAMENTE AFASTADO(A);integer;1
197;197;V0643;1;NA SEMANA DE 25 A 31/07/10, DURANTE PELO MENOS 1 HORA, AJUDOU SEM QUALQUER PAGAMENTO NO TRABALHO REMUNERADO DE MORADOR DO DOMICÍLIO;integer;1
198;198;V0644;1;NA SEMANA DE 25 A 31/07/10, DURANTE PELO MENOS 1 HORA, TRABALHOU NA PLANTAÇÃO, CRIAÇÃO DE ANIMAIS OU PESCA, SOMENTE PARA ALIMENTAÇÃO DOS MORADORES DO DOMICÍLIO (INCLUSIVE CAÇA E EXTRAÇÃO VEGETAL);integer;1
199;199;V0645;1;QUANTOS TRABALHOS TINHA;integer;1
200;203;V6461;4;OCUPAÇÃO;integer;1
204;208;V6471;5;ATIVIDADE;integer;1
209;209;V0648;1;NESSE TRABALHO ERA;integer;1
210;210;V0649;1;QUANTAS PESSOAS EMPREGAVA NESSE TRABALHO;integer;1
211;211;V0650;1;ERA CONTRIBUINTE DE INSTITUTO DE PREVIDÊNCIA OFICIAL EM ALGUM TRABALHO QUE TINHA NA SEMANA DE 25 A 31 DE JULHO DE 2010;integer;1
212;212;V0651;1;NO TRABALHO PRINCIPAL, QUAL ERA O RENDIMENTO BRUTO (OU A RETIRADA) MENSAL QUE GANHAVA HABITUALMENTE EM JULHO DE 2010;integer;1
213;218;V6511;6;VALOR DO RENDIMENTO BRUTO (OU A RETIRADA) MENSAL NO TRABALHO PRINCIPAL;numeric;1
219;224;V6513;6;RENDIMENTO NO TRABALHO PRINCIPAL;numeric;1
225;230;V6514;6;RENDIMENTO NO TRABALHO PRINCIPAL EM Nº DE SALÁRIOS MÍNIMOS;numeric;0,01
231;231;V0652;1;NOS DEMAIS TRABALHOS, QUAL ERA O RENDIMENTO BRUTO (OU A RETIRADA) MENSAL QUE GANHAVA HABITUALMENTE EM JULHO DE 2010;integer;1
232;237;V6521;6;VALOR DO RENDIMENTO BRUTO (OU A RETIRADA) MENSAL NOS DEMAIS TRABALHOS (EM REAIS);numeric;1
238;246;V6524;9;RENDIMENTO BRUTO NOS DEMAIS TRABALHOS EM Nº DE SALÁRIOS MÍNIMOS  ;numeric;0,00001
247;253;V6525;7;RENDIMENTO EM TODOS OS TRABALHOS  ;numeric;1
254;262;V6526;9;RENDIMENTO EM TODOS OS TRABALHOS EM Nº DE SALÁRIOS MÍNIMOS  ;numeric;0,00001
263;269;V6527;7;RENDIMENTO MENSAL TOTAL EM JULHO DE 2010;numeric;1
270;278;V6528;9;RENDIMENTO MENSAL TOTAL EM Nº DE SALÁRIOS MÍNIMOS EM JULHO DE 2010;numeric;0,00001
279;285;V6529;7;RENDIMENTO DOMICILIAR (DOMICÍLIO PARTICULAR) EM JULHO DE 2010  ;numeric;1
286;295;V6530;10;RENDIMENTO DOMICILIAR (DOMICÍLIO PARTICULAR) EM Nº DE SALÁRIOS MÍNIMOS EM JULHO DE 2010  ;numeric;0,00001
296;303;V6531;8;RENDIMENTO DOMICILIAR (DOMICÍLIO PARTICULAR) PER CAPITA EM JULHO DE 2010;numeric;0,01
304;312;V6532;9;RENDIMENTO DOMICILIAR (DOMICÍLIO PARTICULAR) PER CAPITA EM Nº DE SALÁRIOS MÍNIMOS EM JULHO DE 2010;numeric;0,00001
313;315;V0653;3;NO TRABALHO PRINCIPAL, QUANTAS HORAS TRABALHAVA HABITUALMENTE POR SEMANA;integer;1
316;316;V0654;1;NO PERÍODO DE 02 A 31 DE JULHO DE 2010, TOMOU ALGUMA PROVIDÊNCIA, DE FATO, PARA CONSEGUIR  TRABALHO?;integer;1
317;317;V0655;1;SE TIVESSE CONSEGUIDO TRABALHO, ESTARIA DISPONÍVEL PARA ASSUMI-LO NA SEMANA DE 25 A 31 DE JULHO DE 2010?;integer;1
318;318;V0656;1;EM JULHO DE 2010, TINHA RENDIMENTO MENSAL HABITUAL DE APOSENTADORIA OU PENSÃO DE INSTITUTO DE PREVIDÊNCIA OFICIAL (FEDERAL, ESTADUAL OU MUNICIPAL)?;integer;1
319;319;V0657;1;EM JULHO DE 2010, TINHA RENDIMENTO MENSAL HABITUAL DE PROGRAMA SOCIAL BOLSA-FAMÍLIA OU PROGRAMA DE ERRADICAÇÃO DO TRABALHO INFANTIL (PETI);integer;1
320;320;V0658;1;EM JULHO 2010, TINHA RENDIMENTO MENSAL HABITUAL DE OUTROS PROGRAMAS SOCIAIS OU DE TRANSFERÊNCIAS;integer;1
321;321;V0659;1;EM JULHO DE 2010, TINHA RENDIMENTO MENSAL HABITUAL DE OUTRAS FONTES (JUROS DE POUPANÇA, APLICAÇÕES FINANCEIRAS, ALUGUEL, PENSÃO, APOSENTADORIA DE DE PREVIDÊNCIA PRIVADA, ETC)?;integer;1
322;327;V6591;6;EM JULHO DE 2010 QUAL FOI O VALOR TOTAL DESTE(S) RENDIMENTO(S):;numeric;1
328;328;V0660;1;EM QUE MUNICÍPIO E UNIDADE DA FEDERAÇÃO OU PAÍS ESTRANGEIRO TRABALHA;integer;1
329;335;V6602;7;EM QUE UNIDADE DA FEDERAÇÃO TRABALHAVA;integer;1
336;342;V6604;7;EM QUE MUNICÍPIO TRABALHAVA;integer;1
343;349;V6606;7;EM QUE PAÍS ESTRANGEIRO TRABALHAVA;integer;1
350;350;V0661;1;RETORNA DO TRABALHO PARA CASA DIARIAMENTE;integer;1
351;351;V0662;1;QUAL É O TEMPO HABITUAL GASTO DE DESLOCAMENTO DE SUA CASA ATÉ O TRABALHO;integer;1
352;352;V0663;1;QUANTOS FILHOS E FILHAS NASCIDOS VIVOS TEVE ATÉ 31 DE JULHO DE 2010;integer;1
353;354;V6631;2;QUANTOS FILHOS NASCIDOS VIVOS TEVE ATÉ 31 DE JULHO DE 2010;integer;1
355;356;V6632;2;QUANTAS FILHAS NASCIDAS VIVAS TEVE ATÉ 31 DE JULHO DE 2010;integer;1
357;358;V6633  ;2;TOTAL DE FILHOS NASCIDOS VIVOS QUE TEVE ATÉ 31 DE JULHO DE 2010;integer;1
359;359;V0664;1;DOS FILHOS E FILHAS QUE TEVE, QUANTOS ESTAVAM VIVOS EM 31 DE JULHO DE 2010;integer;1
360;361;V6641;2;DOS FILHOS QUE TEVE, QUANTOS ESTAVAM VIVOS EM 31 DE JULHO DE 2010;integer;1
362;363;V6642;2;DAS FILHAS QUE TEVE, QUANTAS ESTAVAM VIVAS EM 31 DE JULHO DE 2010;integer;1
364;365;V6643;2;TOTAL DE FILHOS QUE TEVE, QUANTOS ESTAVAM VIVOS EM 31 DE JULHO DE 2010;integer;1
366;366;V0665;1;QUAL É O SEXO DO ÚLTIMO FILHO TIDO NASCIDO VIVO ATÉ 31 DE JULHO DE 2010;integer;1
367;369;V6660;3;IDADE DO ÚLTIMO FILHO TIDO NASCIDO VIVO ATÉ 31 DE JULHO DE 2010;integer;1
370;370;V6664;1;EXISTÊNCIA DE FILHO TIDO NASCIDO VIVO NO PERÍODO DE REFERÊNCIA DE 12 MESES ANTERIORES A 31/07/2010;integer;1
371;371;V0667;1;ESTE(A) FILHO(A) ESTAVA VIVO(A) EM 31 DE JULHO DE 2010;integer;1
372;372;V0668;1;QUAL FOI O MÊS E O ANO QUE ESTE(A) FILHO(A) FALECEU;integer;1
373;374;V6681;2;QUAL FOI O MÊS QUE ESTE(A) FILHO(A) FALECEU;integer;1
375;378;V6682;4;QUAL FOI O ANO QUE ESTE(A) FILHO(A) FALECEU;integer;1
379;379;V0669;1;QUANTOS FILHOS E FILHAS NASCIDOS MORTOS TEVE ATÉ 31 DE JULHO DE 2010;integer;1
380;381;V6691;2;QUANTOS FILHOS NASCIDOS MORTOS TEVE ATÉ 31 DE JULHO DE 2010;integer;1
382;383;V6692;2;QUANTOS FILHAS NASCIDAS MORTAS TEVE ATÉ 31 DE JULHO DE 2010;integer;1
384;385;V6693;2;QUANTOS FILHOS E FILHAS NASCIDOS MORTOS TEVE ATÉ 31 DE JULHO DE 2010;integer;1
386;387;V6800;2;TOTAL DE FILHOS TIDOS NASCIDOS VIVOS E NASCIDOS MORTOS;integer;1
388;388;V0670;1;ASSINALE QUEM PRESTOU AS INFORMAÇÕES DESTA PESSOA;integer;1
389;390;V0671;2;NÚMERO DE ORDEM DO INFORMANTE (OUTRO MORADOR)  ;integer;1
391;391;V6900;1;CONDIÇÃO DE ATIVIDADE NA SEMANA DE REFERÊNCIA;integer;1
392;392;V6910;1;CONDIÇÃO DE OCUPAÇÃO NA SEMANA DE REFERÊNCIA;integer;1
393;393;V6920;1;SITUAÇÃO DE OCUPAÇÃO NA SEMANA DE REFERÊNCIA;integer;1
394;394;V6930;1;POSIÇÃO NA OCUPAÇÃO E CATEGORIA DO EMPREGO NO TRABALHO PRINCIPAL;integer;1
395;395;V6940;1;SUBGRUPO E CATEGORIA DO EMPREGO NO TRABALHO PRINCIPAL;integer;1
396;398;V6121;3;Qual é a sua religião ou culto? ;integer;1
399;399;V0604;1;TEM MÃE VIVA?;integer;1
400;401;V0605;2;Número de ordem da mãe da pessoa ;integer;1
402;403;V5020;2;NÚMERO DA FAMÍLIA;integer;1
404;405;V5060;2;Número de Pessoas na Família;integer;1
406;413;V5070;8;Rendimento familiar per capita em julho de 2010 ;numeric;0,01
414;422;V5080;9;Rendimento familiar per capita em nº de salários mínimos em julho de 2010 ;numeric;0,00001
423;426;V6462;4;Qual era a ocupação que exercia no trabalho que tinha?;integer;1
427;431;V6472;5;Qual era a atividade principal do empreendimento em que tinha esse trabalho? ;integer;1
432;432;V5110;1;CONDIÇÃO DE CONTRIBUIÇÃO PARA INSTITUTO DE PREVIDÊNCIA OFICIAL NO TRABALHO PRINCIPAL;integer;1
433;433;V5120;1;CONDIÇÃO DE CONTRIBUIÇÃO PARA INSTITUTO DE PREVIDÊNCIA OFICIAL EM QUALQUER TRABALHO;integer;1
434;434;V5030;1;TIPO DE UNIDADE DOMÉSTICA;integer;1
435;435;V5040;1;INDICADORA DE FAMÍLIA;integer;1
436;436;V5090;1;TIPO DE COMPOSIÇÃO FAMILIAR DAS FAMÍLIAS ÚNICAS E CONVIVENTES PRINCIPAIS;integer;1
437;437;V5100;1;TIPO DE COMPOSIÇÃO FAMILIAR DAS FAMÍLIAS CONVIVENTES SECUNDÁRIAS;integer;1
438;439;V5130;2;ORDEM LÓGICA NA FAMÍLIA;integer;1
440;440;M0502;1;MARCA DE IMPUTAÇÃO NA V0502 ;integer;1
441;441;M0601;1;MARCA DE IMPUTAÇÃO NA V0601 ;integer;1
442;442;M6033;1;MARCA DE IMPUTAÇÃO NA V6033 ;integer;1
443;443;M0606;1;MARCA DE IMPUTAÇÃO NA V0606 ;integer;1
444;444;M0613;1;MARCA DE IMPUTAÇÃO NA V0613 ;integer;1
445;445;M0614;1;MARCA DE IMPUTAÇÃO NA V0614 ;integer;1
446;446;M0615;1;MARCA DE IMPUTAÇÃO NA V0615 ;integer;1
447;447;M0616;1;MARCA DE IMPUTAÇÃO NA V0616 ;integer;1
448;448;M0617;1;MARCA DE IMPUTAÇÃO NA V0617 ;integer;1
449;449;M0618;1;MARCA DE IMPUTAÇÃO NA V0618 ;integer;1
450;450;M0619;1;MARCA DE IMPUTAÇÃO NA V0619 ;integer;1
451;451;M0620;1;MARCA DE IMPUTAÇÃO NA V0620 ;integer;1
452;452;M0621;1;MARCA DE IMPUTAÇÃO NA V0621 ;integer;1
453;453;M0622;1;MARCA DE IMPUTAÇÃO NA V0622 ;integer;1
454;454;M6222;1;MARCA DE IMPUTAÇÃO NA V6222 ;integer;1
455;455;M6224;1;MARCA DE IMPUTAÇÃO NA V6224;integer;1
456;456;M0623;1;MARCA DE IMPUTAÇÃO NA V0623 ;integer;1
457;457;M0624;1;MARCA DE IMPUTAÇÃO NA V0624 ;integer;1
458;458;M0625;1;MARCA DE IMPUTAÇÃO NA V0625 ;integer;1
459;459;M6252;1;MARCA DE IMPUTAÇÃO NA V6252 ;integer;1
460;460;M6254;1;MARCA DE IMPUTAÇÃO NA V6254;integer;1
461;461;M6256;1;MARCA DE IMPUTAÇÃO NA V6256 ;integer;1
462;462;M0626;1;MARCA DE IMPUTAÇÃO NA V0626 ;integer;1
463;463;M6262;1;MARCA DE IMPUTAÇÃO NA V6262 ;integer;1
464;464;M6264;1;MARCA DE IMPUTAÇÃO NA V6264 ;integer;1
465;465;M6266;1;MARCA DE IMPUTAÇÃO NA V6266 ;integer;1
466;466;M0627;1;MARCA DE IMPUTAÇÃO NA V0627 ;integer;1
467;467;M0628;1;MARCA DE IMPUTAÇÃO NA V0628 ;integer;1
468;468;M0629;1;MARCA DE IMPUTAÇÃO NA V0629 ;integer;1
469;469;M0630;1;MARCA DE IMPUTAÇÃO NA V0630 ;integer;1
470;470;M0631;1;MARCA DE IMPUTAÇÃO NA V0631 ;integer;1
471;471;M0632;1;MARCA DE IMPUTAÇÃO NA V0632 ;integer;1
472;472;M0633;1;MARCA DE IMPUTAÇÃO NA V0633 ;integer;1
473;473;M0634;1;MARCA DE IMPUTAÇÃO NA V0634 ;integer;1
474;474;M0635;1;MARCA DE IMPUTAÇÃO NA V0635 ;integer;1
475;475;M6352;1;MARCA DE IMPUTAÇÃO NA V6352 ;integer;1
476;476;M6354;1;MARCA DE IMPUTAÇÃO NA V6354 ;integer;1
477;477;M6356;1;MARCA DE IMPUTAÇÃO NA V6356 ;integer;1
478;478;M0636;1;MARCA DE IMPUTAÇÃO NA V0636 ;integer;1
479;479;M6362;1;MARCA DE IMPUTAÇÃO NA V6362 ;integer;1
480;480;M6364;1;MARCA DE IMPUTAÇÃO NA V6364 ;integer;1
481;481;M6366;1;MARCA DE IMPUTAÇÃO NA V6366 ;integer;1
482;482;M0637;1;MARCA DE IMPUTAÇÃO NA V0637 ;integer;1
483;483;M0638;1;MARCA DE IMPUTAÇÃO NA V0638 ;integer;1
484;484;M0639;1;MARCA DE IMPUTAÇÃO NA V0639 ;integer;1
485;485;M0640;1;MARCA DE IMPUTAÇÃO NA V0640 ;integer;1
486;486;M0641;1;MARCA DE IMPUTAÇÃO NA V0641 ;integer;1
487;487;M0642;1;MARCA DE IMPUTAÇÃO NA V0642 ;integer;1
488;488;M0643;1;MARCA DE IMPUTAÇÃO NA V0643 ;integer;1
489;489;M0644;1;MARCA DE IMPUTAÇÃO NA V0644 ;integer;1
490;490;M0645;1;MARCA DE IMPUTAÇÃO NA V0645 ;integer;1
491;491;M6461;1;MARCA DE IMPUTAÇÃO NA V6461 ;integer;1
492;492;M6471;1;MARCA DE IMPUTAÇÃO NA V6471 ;integer;1
493;493;M0648;1;MARCA DE IMPUTAÇÃO NA V0648 ;integer;1
494;494;M0649;1;MARCA DE IMPUTAÇÃO NA V0649 ;integer;1
495;495;M0650;1;MARCA DE IMPUTAÇÃO NA V0650 ;integer;1
496;496;M0651;1;MARCA DE IMPUTAÇÃO NA V0651 ;integer;1
497;497;M6511;1;MARCA DE IMPUTAÇÃO NA V6511 ;integer;1
498;498;M0652;1;MARCA DE IMPUTAÇÃO NA V0652 ;integer;1
499;499;M6521;1;MARCA DE IMPUTAÇÃO NA V6521 ;integer;1
500;500;M0653;1;MARCA DE IMPUTAÇÃO NA V0653 ;integer;1
501;501;M0654;1;MARCA DE IMPUTAÇÃO NA V0654 ;integer;1
502;502;M0655;1;MARCA DE IMPUTAÇÃO NA V0655 ;integer;1
503;503;M0656;1;MARCA DE IMPUTAÇÃO NA V0656 ;integer;1
504;504;M0657;1;MARCA DE IMPUTAÇÃO NA V0657 ;integer;1
505;505;M0658;1;MARCA DE IMPUTAÇÃO NA V0658 ;integer;1
506;506;M0659;1;MARCA DE IMPUTAÇÃO NA V0659 ;integer;1
507;507;M6591;1;MARCA DE IMPUTAÇÃO NA V6591 ;integer;1
508;508;M0660;1;MARCA DE IMPUTAÇÃO NA V0660 ;integer;1
509;509;M6602;1;MARCA DE IMPUTAÇÃO NA V6602 ;integer;1
510;510;M6604;1;MARCA DE IMPUTAÇÃO NA V6604 ;integer;1
511;511;M6606;1;MARCA DE IMPUTAÇÃO NA V6606 ;integer;1
512;512;M0661;1;MARCA DE IMPUTAÇÃO NA V0661;integer;1
513;513;M0662;1;MARCA DE IMPUTAÇÃO NA V0662 ;integer;1
514;514;M0663;1;MARCA DE IMPUTAÇÃO NA V0663 ;integer;1
515;515;M6631;1;MARCA DE IMPUTAÇÃO NA V6631 ;integer;1
516;516;M6632;1;MARCA DE IMPUTAÇÃO NA V6632 ;integer;1
517;517;M6633;1;MARCA DE IMPUTAÇÃO NA V6633 ;integer;1
518;518;M0664;1;MARCA DE IMPUTAÇÃO NA V0664 ;integer;1
519;519;M6641;1;MARCA DE IMPUTAÇÃO NA V6641 ;integer;1
520;520;M6642;1;MARCA DE IMPUTAÇÃO NA V6642 ;integer;1
521;521;M6643;1;MARCA DE IMPUTAÇÃO NA V6643 ;integer;1
522;522;M0665;1;MARCA DE IMPUTAÇÃO NA V0665 ;integer;1
523;523;M6660;1;MARCA DE IMPUTAÇÃO NA V666;integer;1
524;524;M0667;1;MARCA DE IMPUTAÇÃO NA V0667 ;integer;1
525;525;M0668;1;MARCA DE IMPUTAÇÃO NA V0668 ;integer;1
526;526;M6681;1;MARCA DE IMPUTAÇÃO NA V6681 ;integer;1
527;527;M6682;1;MARCA DE IMPUTAÇÃO NA V6682 ;integer;1
528;528;M0669;1;MARCA DE IMPUTAÇÃO NA V0669 ;integer;1
529;529;M6691;1;MARCA DE IMPUTAÇÃO NA V6691 ;integer;1
530;530;M6692;1;MARCA DE IMPUTAÇÃO NA V6692 ;integer;1
531;531;M6693;1;MARCA DE IMPUTAÇÃO NA V6693 ;integer;1
532;532;M0670;1;MARCA DE IMPUTAÇÃO NA V0670 ;integer;1
533;533;M0671;1;MARCA DE IMPUTAÇÃO NA V0671 ;integer;1
534;534;M6800;1;MARCA DE IMPUTAÇÃO NA V6800 ;integer;1
535;535;M6121;1;MARCA DE IMPUTAÇÃO NA V612;integer;1
536;536;M0604;1;MARCA DE IMPUTAÇÃO NA V060;integer;1
537;537;M0605;1;MARCA DE IMPUTAÇÃO NA V060;integer;1
538;538;M6462;1;MARCA DE IMPUTAÇÃO NA V646;integer;1
539;539;M6472;1;MARCA DE IMPUTAÇÃO NA V647;integer;1
