inicio;fim;cod;tamanho;desc;tipo;multiplica
158;158;M0213;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
159;159;M0214;1;MARCA DE IMPUTAÇÃO NA V0214;integer;1
160;160;M0215;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
161;161;M0216;1;MARCA DE IMPUTAÇÃO NA V0216;integer;1
162;162;M0217;1;MARCA DE IMPUTAÇÃO NA V0217;integer;1
163;163;M0218;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
164;164;M0219;1;MARCA DE IMPUTAÇÃO NA V0219;integer;1
165;165;M0220;1;MARCA DE IMPUTAÇÃO NA V0220:  ;integer;1
166;166;M0221;1;MARCA DE IMPUTAÇÃO NA V0221;integer;1
167;167;M0222;1;MARCA DE IMPUTAÇÃO NA V0222;integer;1
168;168;M0301;1;MARCA DE IMPUTAÇÃO NA V0301;integer;1
169;169;M0401;1;MARCA DE IMPUTAÇÃO NA V0401;integer;1
170;170;M0402;1;MARCA DE IMPUTAÇÃO NA V0402;integer;1
171;171;M0701;1;MARCA DE IMPUTAÇÃO NA V0701;integer;1
